Nice name, ID, Level, X, Z
"Fishing spot",5234,0,2694,2706
"Bird",5241,0,2696,2709
"Bird",5241,0,2713,2697
"Snake",5244,0,2716,2719
"Jungle spider",5243,0,2716,2722
"Bird",5240,0,2718,2726
"Jungle spider",5243,0,2721,2729
"Snake",5244,0,2726,2712
"Snake",5244,0,2731,2724
"Jungle spider",5243,0,2732,2714
"Bird",5241,0,2737,2695
"Jungle spider",5243,0,2738,2722
"Snake",5244,0,2740,2721
"Bird",5240,0,2741,2712
"Jungle spider",5243,0,2742,2704
"Snake",5244,0,2742,2707
"Jungle spider",5243,0,2742,2711
"Jungle spider",5243,0,2749,2710
"Ruby harvest",5556,0,1219,3761
"Black warlock",5553,0,1220,3747
"Fishing spot",8526,0,1221,3714
"Snowy knight",5554,0,1223,3723
"Rabbit",8591,0,1223,3749
"Black warlock",5553,0,1224,3764
"Duck",1839,0,1225,3730
"Duckling",2001,0,1226,3729
"Duck",1838,0,1226,3731
"Duck",2003,0,1227,3733
"Butterfly",235,0,1229,3722
"Felfiz Yaryus",8595,0,1229,3724
"Arno",8588,0,1230,3728
"Rabbit",8592,0,1230,3735
"Rosie",8534,0,1232,3733
"Black warlock",5553,0,1233,3745
"Tool Leprechaun",0,0,1234,3761
"Rabbit",8593,0,1235,3725
"Alexandra",8536,0,1235,3752
"Master Farmer",5730,0,1236,3727
"Tool Leprechaun",0,0,1236,3732
"Rabbit",8592,0,1236,3759
"Rabbit",8591,0,1237,3733
"Sapphire glacialis",5555,0,1237,3746
"Ruby harvest",5556,0,1237,3747
"Snowy knight",5554,0,1238,3740
"Butterfly",234,0,1240,3720
"Rabbit",8591,0,1240,3753
"Nikkie",8533,0,1241,3756
"Black warlock",5553,0,1242,3760
"Butterfly",235,0,1243,3744
"Soldier",8599,0,1245,3717
"Rabbit",8592,0,1245,3757
"Ranger",8601,0,1246,3719
"Amelia",8530,0,1246,3739
"Taylor",8629,0,1246,3753
"Garden supplier",3103,0,1247,3735
"Master Farmer",5730,0,1247,3750
"Guildmaster Jane",8628,0,1248,3727
"Banker",8589,0,1248,3760
"Banker",8590,0,1249,3760
"Sergeant",8600,0,1250,3716
"Soldier",8599,0,1251,3719
"Allanna",8531,0,1251,3734
"Butterfly",234,0,1252,3744
"Rabbit",8591,0,1252,3748
"Rabbit",8593,0,1252,3754
"Tool Leprechaun",0,0,1252,3756
"Latlink Fastbell",8537,0,1254,3752
"Butterfly",235,0,1256,3737
"Cat",8594,0,1256,3758
"Butterfly",235,0,1257,3721
"Butterfly",238,0,1257,3739
"Sapphire glacialis",5555,0,1258,3746
"Butterfly",238,0,1260,3742
"Black warlock",5553,0,1260,3750
"Tool Leprechaun",0,0,1262,3731
"Rabbit",8592,0,1262,3735
"Ruby harvest",5556,0,1264,3718
"Master Farmer",5731,0,1264,3725
"Alan",8535,0,1265,3734
"Butterfly",234,0,1276,3728
"Dark warrior",531,0,3582,6065
"Dark warrior",531,0,3582,6068
"Dark warrior",531,0,3582,6071
"Butterfly",238,0,2180,2798
"Squirrel",1416,0,2184,2782
"Rat",2854,0,2193,2789
"Rat",2854,0,2194,2797
"Rat",2854,0,2204,2791
"Butterfly",238,0,2209,2812
"Rat",2854,0,2216,2787
"Butterfly",238,0,2217,2780
"Squirrel",1418,0,2227,2805
"Moss giant",2091,0,2227,2815
"Bird",10541,0,2234,2802
"Kurask",410,0,3208,12365
"Kurask",410,0,3208,12371
"Kurask",410,0,3214,12370
"Kurask",410,0,3217,12361
"Kurask",410,0,3219,12368
"Dark beast",4005,0,3219,12391
"Kurask",410,0,3220,12357
"Dark beast",4005,0,3224,12385
"Kurask",410,0,3225,12367
"Dark beast",4005,0,3226,12393
"Kurask",410,0,3228,12361
"Dark beast",4005,0,3228,12399
"Dark beast",4005,0,3232,12388
"Dark beast",4005,0,3234,12394
"Kurask",410,0,3249,12377
"Kurask",410,0,3249,12386
"Mutated Bloodveld",7276,0,3249,12414
"Kurask",410,0,3254,12382
"Kurask",410,0,3255,12372
"Kurask",410,0,3255,12389
"Kurask",410,0,3258,12380
"TzHaar-Ket",7679,0,2435,5117
"TzHaar-Mej",2157,0,2437,5114
"TzHaar-Ket",2179,0,2439,5113
"TzHaar-Ket",7679,0,2440,5114
"TzHaar-Mej",2156,0,2443,5111
"Rod Fishing spot",7676,0,2446,5104
"TzHaar-Ket",7679,0,2446,5110
"TzHaar-Ket",7679,0,2447,5113
"TzHaar-Ket",2179,0,2448,5111
"TzHaar-Ket",2179,0,2451,5117
"TzHaar-Hur",7684,0,2452,5088
"TzHaar-Xil",2169,0,2455,5116
"TzHaar-Ket",2177,0,2456,5105
"TzHaar-Mej",2156,0,2456,5108
"TzHaar-Ket",2175,0,2457,5117
"TzHaar-Ket",7679,0,2458,5103
"TzHaar-Mej-Bal",7681,0,2459,5091
"TzHaar-Hur",7687,0,2459,5093
"TzHaar-Ket",7679,0,2459,5112
"TzHaar-Ket",7679,0,2460,5101
"TzHaar-Ket",2179,0,2460,5108
"TzHaar-Ket",2179,0,2461,5104
"TzHaar-Ket",7679,0,2463,5095
"TzHaar-Ket",2176,0,2464,5099
"TzHaar-Ket",2177,0,2466,5097
"TzHaar-Xil",2168,0,2468,5094
"TzHaar-Ket",7679,0,2469,5091
"TzHaar-Ket",7679,0,2470,5095
"TzHaar-Mej",2156,0,2472,5090
"TzHaar-Ket",7679,0,2472,5114
"TzHaar-Hur",7684,0,2472,5118
"TzHaar-Xil",2171,0,2473,5088
"TzHaar-Xil",2167,0,2474,5086
"TzHaar-Ket",2175,0,2476,5087
"TzHaar-Ket",7679,0,2476,5111
"Rod Fishing spot",7676,0,2477,5078
"TzHaar-Mej",2157,0,2477,5084
"TzHaar-Hur",7682,0,2477,5108
"TzHaar-Ket",2179,0,2478,5111
"Rod Fishing spot",7676,0,2479,5078
"TzHaar-Ket",7679,0,2479,5081
"TzHaar-Ket",2179,0,2480,5084
"TzHaar-Ket",7679,0,2480,5107
"TzHaar-Ket",7679,0,2481,5104
"TzHaar-Mej",2156,0,2482,5101
"TzHaar-Ket",2179,0,2484,5104
"TzHaar-Xil",2171,0,2485,5079
"TzHaar-Ket",2179,0,2486,5081
"TzHaar-Ket",2177,0,2486,5083
"TzHaar-Ket",7679,0,2486,5101
"TzHaar-Hur",7686,0,2486,5103
"TzHaar-Ket",7679,0,2488,5083
"TzHaar-Hur-Zal",7688,0,2490,5070
"TzHaar-Ket",2173,0,2490,5076
"TzHaar-Xil",2171,0,2490,5081
"TzHaar-Mej",2159,0,2490,5101
"TzHaar-Mej",2160,0,2492,5078
"TzHaar-Ket",7679,0,2492,5099
"TzHaar-Ket-Keh",7690,0,2494,5113
"TzHaar-Xil",2170,0,2495,5080
"TzHaar-Ket",7679,0,2495,5094
"Baby tanglefoot",5853,0,2373,4387
"Baby tanglefoot",5853,0,2373,4391
"Baby tanglefoot",5854,0,2375,4381
"Baby tanglefoot",5853,0,2377,4376
"Baby tanglefoot",5853,0,2377,4386
"Baby tanglefoot",5853,0,2392,4379
"Baby tanglefoot",5854,0,2394,4378
"Baby tanglefoot",5854,0,2397,4358
"Gatekeeper",6534,0,2401,4378
"Fungi",1023,0,2412,4370
"Fungi",1023,0,2416,4376
"Fungi",1023,0,2419,4374
"Fungi",1023,0,2420,4377
"Fungi",1023,0,2421,4370
"Tracker gnome 3",4977,0,2496,3235
"Mounted terrorbird gnome",5971,0,2500,3226
"Khazard trooper",5964,0,2502,3242
"Tracker gnome 1",4975,0,2502,3261
"Gnome",5968,0,2506,3229
